timestamp,type,entry_price,exit_price,size_usd,pnl_usd,pnl_pct,reason
2026-04-29 02:32:25,LONG,145.5488192348234,145.33022226302654,50.0,-0.07509403818803695,-0.1501880763760739,وقف
2026-04-29 02:32:31,SHORT,145.37743821910004,145.3654057169448,50.0,0.004138366414572524,0.008276732829145048,انعكاس
2026-04-29 02:32:36,SHORT,145.4220853252623,145.4388641943427,50.0,-0.00576902368126639,-0.01153804736253278,انعكاس
2026-04-29 02:32:41,LONG,145.6308608724629,145.88514648501166,50.0,0.08730485112336463,0.17460970224672925,انعكاس
2026-04-29 02:32:45,LONG,146.1006941151499,146.14451789191025,50.0,0.014997798958370556,0.029995597916741112,انعكاس
2026-04-29 02:32:54,SHORT,145.93202737325433,145.62349932375685,50.0,0.10570950566881109,0.21141901133762217,هدف
2026-04-29 02:33:00,LONG,145.7895865156203,145.67420593018187,50.0,-0.039570928279595616,-0.07914185655919123,انعكاس
2026-04-29 02:33:02,SHORT,145.6319486256189,145.85182537851367,50.0,-0.0754905619851389,-0.1509811239702778,وقف
2026-04-29 02:33:04,LONG,145.75141698283323,145.69096408979615,50.0,-0.02073835516954208,-0.04147671033908416,انعكاس
2026-04-29 02:33:13,LONG,145.95508890687051,145.89555223640568,50.0,-0.02039554458523387,-0.04079108917046774,انعكاس
2026-04-29 02:33:18,SHORT,146.1008431516901,146.05145570194688,50.0,0.016901835977751613,0.033803671955503226,انعكاس
2026-04-29 02:33:24,SHORT,146.01227349531882,146.15284785687388,50.0,-0.04813785793136091,-0.09627571586272182,انعكاس
2026-04-29 02:33:27,LONG,146.20036627231372,146.3068617922651,50.0,0.03642108520885002,0.07284217041770004,انعكاس
2026-04-29 02:33:32,SHORT,146.56564399571906,146.47228591523174,50.0,0.03184855534426848,0.06369711068853696,انعكاس
2026-04-29 02:33:34,SHORT,146.4845653203015,146.70431773258008,50.0,-0.07500872593575733,-0.15001745187151466,وقف
2026-04-29 02:33:36,LONG,146.61205515768594,146.50867540370143,50.0,-0.035256225647108036,-0.07051245129421607,انعكاس
2026-04-29 02:33:44,SHORT,146.48900247866314,146.59875107653008,50.0,-0.03745967137803574,-0.07491934275607148,انعكاس
2026-04-29 02:33:50,SHORT,146.32586674287086,146.22742016865692,50.0,0.03363949806186068,0.06727899612372136,انعكاس
2026-04-29 02:33:52,LONG,146.17473854621892,146.0369457073112,50.0,-0.047132917861918956,-0.09426583572383791,انعكاس
2026-04-29 02:33:55,SHORT,145.99196769392472,146.01540709701078,50.0,-0.008027634484384693,-0.016055268968769385,انعكاس
